objectid,park_name,court_number,comments,data_source,lat,lng
23,George C Pelbano Playground,1,Lights for court exist. No Court Number Sign.,"Pictometry 2020;GIS Field Verified 9/22/20",40.06182311968393,-75.0514162899523
24,Thomas E Jardel Memorial Field,2,,Pictometry 2020,40.05664881705516,-75.0769411518021
25,Daniel Boyle Memorial Recreation Center,2,,Pictometry 2020,40.12236084757128,-75.00695772961899
26,Stenton Park,0,,"2015 Final Plan for Stenton Park Playground Reconstruction, Pictometry 2020",40.02383066051255,-75.15266723785162
27,Water Tower Recreation Center,1,,"NATUREPHL, Pictometry 2020",40.07492122846884,-75.20043455315054
28,Pepper School Playground,1,,"NATUREPHL, Pictometry 2020",39.89629161902288,-75.24903576034089
29,Elizabeth M Picariello Playground,1,,Pictometry 2020,40.07991673824056,-74.98886575118992
30,Reyburn Park,1,,Pictometry 2020,39.99477762997883,-75.16552251749424
31,Seymour Tarken Recreation Center,2,,NATUREPHL and Pictometry 2020,40.03990495913486,-75.08284156649766
32,Bridesburg Recreation Center,2,,Pictometry 2020,39.999353924468956,-75.0685226942306
33,Francis J Myers Recreation Center,2,,"NATUREPHL, Pictometry 2020",39.93397094330896,-75.2287852654103
34,Harry S McDevitt Playground,1,,Pictometry 2020,40.00892153485011,-75.1871567789449
35,Thomas Mitchell Playground,2,,NATUREPHL and Pictometry 2020,40.06856776529922,-74.99192994063303
36,Charles M Finley Playground,2,,"NATUREPHL, Pictometry 2020",40.0641160258306,-75.16981248764507
37,Tomlinson and Gifford Playground,1,,NATUREPHL and Pictometry 2020,40.11546568242647,-75.02429868288637
38,Morris Estate Cultural Center,1,,"NATUREPHL, Pictometry 2020",40.05029398430916,-75.14683886105688
39,Frank McArdle Memorial Recreation Center,2,,NATUREPHL and Pictometry 2020,40.060765835373424,-75.02733630908995
40,Boniface Piccoli Playground,2,,Pictometry 2020,40.0128817003324,-75.09591702177792
41,Helen G Sturgis Playground,1,,Pictometry 2020,40.049527060912396,-75.12435930833855
42,John L Barrett Playground,2,,"NATUREPHL, Pictometry 2020",40.02960129817542,-75.13590966786217
43,A Albert Cherashore Playground,2,,"NATUREPHL, Pictometry 2020",40.0378967575585,-75.13726940490085
44,West Mill Creek,2,,Pictometry 2020,39.96929306396346,-75.22506156272115
45,11th and Cecil B Moore Playground,1,,"NATUREPHL, Pictometry 2020",39.97905680551781,-75.15109324891039
46,Waterview Recreation Center,1,,"NATUREPHL, Pictometry 2020",40.045112776099955,-75.16796645170741
47,East Poplar Playground,2,,"NATUREPHL, Pictometry 2020",39.96736107770606,-75.15110194687274
48,Pleasant Playground,1,,Pictometry 2020,40.056882273605346,-75.18297533708066
49,Happy Hollow Recreation Center,2,,"NATUREPHL, Pictometry 2020",40.02321358732232,-75.16645676455957
